year,hour,focal_depth,eq_primary,eq_mag_mw,eq_mag_ms,eq_mag_mb,eq_mag_ml,eq_mag_mfa,eq_mag_unk,intensity,country,state,location_name,latitude,longitude,total_deaths,total_damage_millions_dollars
1580,,33,6.2,,,,6.2,,,,UK,,UNITED KINGDOM:  DOVER STRAITS,51.019,1.309,,
1755,9,,7,,,,7,,,8,USA,MA,MASSACHUSETTS:  EAST OF CAPE ANN,42.7,-70.3,,
1788,,,8,,8,,,,,,USA,AK,ALASKA PENINSULA,55,-161,,
1811,13,,7,7,8,,,7,,10,USA,AR,ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES),35.6,-90.4,,
1812,15,,7.3,7.3,8.4,,,7.1,,10,USA,MO,MISSOURI:  NEW MADRID,36.3,-89.6,,
1840,,,5.2,,,,5.2,,,,USA,PA,PENNSYLVANIA:  PHILADELPHIA,39.8,-75.2,,
1857,10,,8.3,,,,,,8.3,7,USA,CA,CALIFORNIA:  SAN FRANCISCO,35,-119,,
1862,,,5.9,,,,5.9,,,7,USA,CA,CALIFORNIA:  SAN DIEGO,32.7,-117.2,,
1880,22,,7,,7,,,,,,USA,AK,ALASKA:  SOUTHEASTERN,57,-136,,
1884,19,,5.5,,,,,5.5,,7,USA,NY,"NEW YORK: ROCKAWAY BEACH, NEAR NEW YORK CITY",40.6,-73.75,,
1895,11,,4.3,,,,,4.3,,6,USA,NY,NEW JERSEY: HIGH BRIDGE,40.667,-74.883,,
1898,18,,7.6,,,,,,7.6,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,52,172,,
1899,17,25,7.8,,7.8,,,,,7,USA,AK,ALASKA:  CAPE YAKATAGA,60,-140,,
1899,12,,6.4,,6.4,,6.6,,,9,USA,CA,CALIFORNIA,33.5,-117,,
1901,9,,7.8,,7.8,,,,7.8,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,51.45,-171.02,,
1902,5,,7.8,,,,,,7.8,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.4,-167.5,,
1903,13,,8.3,,8.3,,,,,,USA,AK,ALASKA:  SOUTHWEST,61.56,-158.54,,
