Year,Mo,Dy,Hr,Mn,Tsu,Country,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged
1520,12,15,12,28,0,CHILE,CHILE,-40.0,-74.0,43,7.2,0,0,854,1952.0,5309,75712
1543,12,15,12,28,0,CHILE,CHILE,-19.0,-70.5,43,7.2,0,0,854,1952.0,5309,75712
1562,10,28,10,28,1,CHILE,CHILE,-38.7,-73.5,43,8.0,0,0,854,1952.0,5309,75712
1570,2,8,13,28,1,CHILE,CHILE:  OLD CONCEPCION,-36.75,-73.0,43,8.3,0,0,854,1952.0,5309,75712
1575,12,16,18,30,1,CHILE,CHILE:  VALDIVIA,-39.8,-73.2,43,8.5,21,0,854,1952.0,5309,75712
1604,12,15,12,28,0,CHILE,CHILE,-29.9,-71.3,43,7.2,0,0,854,1952.0,5309,75712
1615,9,16,12,28,1,CHILE,CHILE:  ARICA,-18.5,-70.35,43,7.5,0,0,854,1952.0,5309,75712
1633,5,14,12,28,1,CHILE,CHILE:  FORT CARELMAPU,-41.8,-73.8,43,7.2,0,0,854,1952.0,5309,75712
1639,12,15,12,28,0,CHILE,CHILE,-30.0,-71.4,43,7.2,0,0,854,1952.0,5309,75712
1647,5,14,2,30,0,CHILE,CHILE:  SANTIAGO,-33.4,-70.6,43,8.5,1000,0,854,1952.0,300,75712
1657,3,15,23,30,1,CHILE,"CHILE:  CONCEPCION, CHILLAN",-36.83,-73.03,43,8.0,0,0,854,1952.0,5309,75712
1657,7,9,12,28,1,CHILE,CHILE:  SANTIAGO,-33.5,-70.7,43,7.2,0,0,854,1952.0,5309,75712
1681,3,10,12,28,1,CHILE,CHILE,-18.5,-70.35,43,7.5,0,0,854,1952.0,5309,75712
1687,7,12,12,28,1,CHILE,CHILE:  SANTIAGO,-32.8,-70.7,43,7.5,0,0,854,1952.0,5309,75712
1705,11,26,12,28,1,CHILE,CHILE:  CHILE:  ARICA,-18.6,-70.2,43,7.2,0,0,854,1952.0,5309,75712
1730,7,8,8,45,1,CHILE,CHILE:  VALPARAISO,-32.5,-71.5,43,9.1,2,0,854,1952.0,5309,75712
1737,12,24,12,28,1,CHILE,"CHILE: VALDIVIA, CHILOE",-43.0,-74.0,43,8.0,0,0,854,1952.0,5309,75712
1742,3,23,12,28,1,CHILE,CHILE:  CONCEPCION,-36.8,-73.0,43,7.2,0,0,854,1952.0,5309,75712
1751,5,25,5,30,1,CHILE,"CHILE:  CONCEPCION, CHILLAN, TALCA, TUTUBEN, CURICO",-36.83,-71.63,43,8.5,0,0,854,1952.0,5309,75712
1765,12,15,12,28,1,CHILE,CHILE:  VALPARAISO,-33.05,-71.617,43,7.2,0,0,854,1952.0,5309,75712
1796,3,30,10,45,0,CHILE,"CHILE:  COPIAPO, VALLENAR, HUASCO, COQUIMBO",-27.35,-70.35,43,7.7,0,0,854,1952.0,5309,75712
1798,8,24,12,28,0,CHILE,CHILE:  COPIAPO,-27.35,-70.35,43,7.2,0,0,854,1952.0,5309,75712
1811,11,19,14,15,1,CHILE,CHILE:  VALPARAISO,-33.08,-71.67,43,7.2,0,0,854,1952.0,5309,75712
1819,4,3,14,0,0,CHILE,CHILE:  COPIAPO,-27.4,-70.3,43,8.0,0,0,854,1952.0,5309,75712
1819,4,4,20,0,0,CHILE,CHILE:  COPIAPO,-27.4,-70.3,43,8.0,0,0,854,1952.0,5309,75712
1819,4,12,3,0,1,CHILE,CHILE:  COPIAPO,-27.0,-71.5,43,8.5,0,0,854,1952.0,5309,75712
1822,11,20,2,30,1,CHILE,"CHILE:  VALPARAISO, QUILLOTA, CONCON,  ACONCAGUA",-33.0,-72.0,43,8.5,72,0,200,1952.0,5309,75712
1822,11,25,12,15,0,CHILE,CHILE,-33.05,-71.63,43,7.2,0,0,854,1952.0,5309,75712
1829,9,26,19,12,1,CHILE,CHILE:  VALPARAISO,-33.05,-71.63,43,7.0,0,0,854,1952.0,5309,75712
1831,10,9,2,15,0,CHILE,"CHILE: PERU:  TACNA,ARICA,AREQUIPA",-18.5,-71.0,43,7.8,0,0,854,1952.0,5309,75712
1833,4,25,14,30,0,CHILE,CHILE,-28.5,-71.3,43,7.2,0,0,854,1952.0,5309,75712
1835,2,20,16,22,1,CHILE,CHILE:  CONCEPCION,-36.83,-73.03,43,8.2,50,30,500,1952.0,5309,75712
1836,7,3,12,28,1,CHILE,CHILE:  COBIJA,-22.6,-70.3,43,7.5,0,0,854,1952.0,5309,75712
1837,11,7,12,51,1,CHILE,CHILE:  VALDIVIA,-42.5,-74.0,43,8.5,0,0,854,1952.0,5309,75712
